codigo_reserva,tarifa,cabina,ruta,categoria_pass,millas_acumuladas,perfil_narrativo
UBR517,Top,Premium Business,Santiago-Bogota,Silver,549,"Reserva UBR517: tarifa Top, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Silver, 549 millas acumuladas."
FDE676,Plus,Premium Business,Santiago-Miami,Silver,11734,"Reserva FDE676: tarifa Plus, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Silver, 11734 millas acumuladas."
MPP686,Top,Premium Business,Santiago-Sao Paulo,Red,13404,"Reserva MPP686: tarifa Top, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 13404 millas acumuladas."
DBL320,Light,Premium Economy,Santiago-Miami,Red,570,"Reserva DBL320: tarifa Light, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 570 millas acumuladas."
LBV088,Full,Premium Economy,Santiago-Buenos Aires,Gold,6698,"Reserva LBV088: tarifa Full, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Gold, 6698 millas acumuladas."
PVX486,Top,Premium Business,Santiago-Miami,Red,11079,"Reserva PVX486: tarifa Top, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 11079 millas acumuladas."
NYL889,Light,Premium Business,Santiago-Bogota,Gold,3646,"Reserva NYL889: tarifa Light, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Gold, 3646 millas acumuladas."
ASZ563,Top,Premium Economy,Santiago-Miami,Silver,1338,"Reserva ASZ563: tarifa Top, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 1338 millas acumuladas."
USB633,Full,Premium Economy,Santiago-Sao Paulo,Red,11368,"Reserva USB633: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 11368 millas acumuladas."
TRX835,Plus,Premium Economy,Santiago-Sao Paulo,Silver,15218,"Reserva TRX835: tarifa Plus, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 15218 millas acumuladas."
ZSK593,Full,Premium Business,Santiago-Sao Paulo,Gold,55853,"Reserva ZSK593: tarifa Full, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Gold, 55853 millas acumuladas."
VSV765,Full,Premium Business,Santiago-Sao Paulo,Silver,5850,"Reserva VSV765: tarifa Full, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 5850 millas acumuladas."
AHY371,Plus,Economy,Santiago-Lima,Gold,4737,"Reserva AHY371: tarifa Plus, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Gold, 4737 millas acumuladas."
HUN575,Top,Premium Business,Santiago-Bogota,Red,1225,"Reserva HUN575: tarifa Top, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Red, 1225 millas acumuladas."
QDE669,Full,Economy,Santiago-Miami,Red,49310,"Reserva QDE669: tarifa Full, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 49310 millas acumuladas."
JTZ677,Plus,Premium Business,Santiago-Bogota,Gold,17859,"Reserva JTZ677: tarifa Plus, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Gold, 17859 millas acumuladas."
HVM839,Full,Premium Economy,Santiago-Sao Paulo,Red,2854,"Reserva HVM839: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 2854 millas acumuladas."
UNL116,Top,Economy,Santiago-Miami,Red,4320,"Reserva UNL116: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 4320 millas acumuladas."
WPC882,Plus,Premium Economy,Santiago-Miami,Silver,18807,"Reserva WPC882: tarifa Plus, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 18807 millas acumuladas."
XDL924,Top,Economy,Santiago-Miami,Silver,4926,"Reserva XDL924: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 4926 millas acumuladas."
BNF930,Light,Premium Business,Santiago-Sao Paulo,Black,20085,"Reserva BNF930: tarifa Light, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Black, 20085 millas acumuladas."
UDG861,Full,Premium Economy,Santiago-Buenos Aires,Silver,14190,"Reserva UDG861: tarifa Full, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Silver, 14190 millas acumuladas."
ABG857,Full,Economy,Santiago-Sao Paulo,Red,4269,"Reserva ABG857: tarifa Full, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 4269 millas acumuladas."
FCF660,Full,Premium Business,Santiago-Buenos Aires,Red,21272,"Reserva FCF660: tarifa Full, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 21272 millas acumuladas."
ANF146,Plus,Premium Business,Santiago-Miami,Red,1850,"Reserva ANF146: tarifa Plus, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 1850 millas acumuladas."
ESN395,Light,Premium Economy,Santiago-Miami,Red,623,"Reserva ESN395: tarifa Light, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 623 millas acumuladas."
BKJ730,Plus,Premium Business,Santiago-Lima,Platinum,18243,"Reserva BKJ730: tarifa Plus, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Platinum, 18243 millas acumuladas."
UTH058,Plus,Premium Business,Santiago-Miami,Silver,1544,"Reserva UTH058: tarifa Plus, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Silver, 1544 millas acumuladas."
ZME179,Light,Premium Economy,Santiago-Bogota,Silver,9621,"Reserva ZME179: tarifa Light, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Silver, 9621 millas acumuladas."
BEB959,Full,Premium Economy,Santiago-Lima,Red,8533,"Reserva BEB959: tarifa Full, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 8533 millas acumuladas."
UEJ783,Light,Premium Economy,Santiago-Miami,Red,14350,"Reserva UEJ783: tarifa Light, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 14350 millas acumuladas."
XTX394,Full,Premium Economy,Santiago-Buenos Aires,Silver,695,"Reserva XTX394: tarifa Full, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Silver, 695 millas acumuladas."
GBL491,Top,Premium Economy,Santiago-Lima,Red,14746,"Reserva GBL491: tarifa Top, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 14746 millas acumuladas."
BRH646,Top,Premium Economy,Santiago-Lima,Silver,29120,"Reserva BRH646: tarifa Top, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Silver, 29120 millas acumuladas."
TXQ467,Light,Economy,Santiago-Miami,Silver,2667,"Reserva TXQ467: tarifa Light, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 2667 millas acumuladas."
JVS916,Full,Economy,Santiago-Bogota,Red,15425,"Reserva JVS916: tarifa Full, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 15425 millas acumuladas."
BUJ356,Full,Premium Economy,Santiago-Sao Paulo,Red,13220,"Reserva BUJ356: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 13220 millas acumuladas."
LBD332,Light,Economy,Santiago-Bogota,Black,12851,"Reserva LBD332: tarifa Light, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Black, 12851 millas acumuladas."
MKP224,Top,Premium Business,Santiago-Miami,Red,15462,"Reserva MKP224: tarifa Top, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 15462 millas acumuladas."
EDB179,Top,Premium Business,Santiago-Sao Paulo,Silver,11832,"Reserva EDB179: tarifa Top, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 11832 millas acumuladas."
TPG217,Plus,Premium Economy,Santiago-Buenos Aires,Black,7318,"Reserva TPG217: tarifa Plus, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Black, 7318 millas acumuladas."
FZV243,Top,Premium Economy,Santiago-Buenos Aires,Black,35363,"Reserva FZV243: tarifa Top, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Black, 35363 millas acumuladas."
DXB374,Full,Premium Economy,Santiago-Buenos Aires,Red,1078,"Reserva DXB374: tarifa Full, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 1078 millas acumuladas."
BZR463,Plus,Economy,Santiago-Miami,Red,275,"Reserva BZR463: tarifa Plus, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 275 millas acumuladas."
NWV531,Plus,Premium Economy,Santiago-Buenos Aires,Red,17233,"Reserva NWV531: tarifa Plus, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 17233 millas acumuladas."
XWG651,Top,Premium Business,Santiago-Buenos Aires,Red,5762,"Reserva XWG651: tarifa Top, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 5762 millas acumuladas."
CRQ516,Top,Premium Business,Santiago-Lima,Gold,353,"Reserva CRQ516: tarifa Top, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Gold, 353 millas acumuladas."
VAB656,Full,Premium Business,Santiago-Lima,Gold,4966,"Reserva VAB656: tarifa Full, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Gold, 4966 millas acumuladas."
MRG948,Full,Premium Economy,Santiago-Miami,Red,17897,"Reserva MRG948: tarifa Full, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 17897 millas acumuladas."
BBL426,Top,Premium Business,Santiago-Sao Paulo,Silver,31491,"Reserva BBL426: tarifa Top, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 31491 millas acumuladas."
TWZ135,Top,Economy,Santiago-Miami,Gold,24404,"Reserva TWZ135: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Gold, 24404 millas acumuladas."
CLD098,Full,Economy,Santiago-Bogota,Red,2929,"Reserva CLD098: tarifa Full, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 2929 millas acumuladas."
VYT119,Full,Premium Economy,Santiago-Sao Paulo,Gold,24663,"Reserva VYT119: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Gold, 24663 millas acumuladas."
MCK425,Light,Economy,Santiago-Sao Paulo,Black Signature,7981,"Reserva MCK425: tarifa Light, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Black Signature, 7981 millas acumuladas."
MXR458,Full,Economy,Santiago-Sao Paulo,Red,22469,"Reserva MXR458: tarifa Full, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 22469 millas acumuladas."
TUJ451,Top,Economy,Santiago-Miami,Red,40052,"Reserva TUJ451: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 40052 millas acumuladas."
NUG961,Light,Premium Economy,Santiago-Sao Paulo,Platinum,8405,"Reserva NUG961: tarifa Light, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 8405 millas acumuladas."
VJY715,Light,Economy,Santiago-Lima,Gold,21069,"Reserva VJY715: tarifa Light, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Gold, 21069 millas acumuladas."
